,Make,Model,Transmission,Drive_configuration,Engine_capacity,Body_type,Seating,Fuel,crsp_ksh
1042,Fiat,DUCATO,Automatic transmission,,2200.0,VAN,,DIESEL,8776731.955500001
1043,Fiat,DUCATO,Automatic transmission,,2200.0,VAN,,DIESEL,8456498.658000002
1044,Fiat,DUCATO,Automatic transmission,,2200.0,VAN,,DIESEL,9479490.507000003
1045,Fiat,LA PRIMA,Automatic transmission,,,HATCHBACK,,ELECTRIC,7676825.625000002
1046,Ford,ECOSPORT ,Automatic transmission,4WD,1000.0,SUV,,PETROL,6240893.67
1047,Ford,ECOSPORT ,Automatic transmission,4WD,1000.0,SUV,,PETROL,5275807.020000001
1048,Ford,PUMA,Automatic transmission,,1000.0,SUV,,PETROL,4443419.784375
1049,Ford,PUMA,Automatic transmission,,1000.0,SUV,,PETROL,5066704.912500001
1050,Ford,PUMA,Automatic transmission,,1000.0,SUV,,PETROL,5368294.490625
1051,Ford,ECOSPORT ,Automatic transmission,4WD,1500.0,SUV,,PETROL,4857602.805
1052,Ford,FIESTA,Manual transmission,2WD,1500.0,HATCHBACK,,PETROL,5928389.421428571
1053,Ford,ENDURA,Automatic transmission,AWD,2000.0,SUV,,DIESEL,6862838.399999999
1054,Ford,ENDURA,Automatic transmission,2WD,2000.0,SUV,,DIESEL,8283660.4125
1055,Ford,ENDURA,Automatic transmission,AWD,2000.0,SUV,,DIESEL,10669569.075
